,JokeId,JokeSentences
0,1,man visit doctor doctor say bad news
1,1,news cancer alzheimers disease man reply wellthank
2,1,disease man reply wellthank god cancer
3,2,cannibal eat clown turn say taste funny
4,2,eat clown turn say taste funny
5,3,question s difference greet queen greet president
6,3,president united states answer knee greet queen
7,3,united states answer knee greet queen
8,4,question hurricane tornado redneck divorce common answer
9,4,common answer someones go lose trailer
10,5,guy stand tee shoot eternity look look
11,5,look measure distance figure wind direction speed
12,5,speed drive partner nut finally exasperate partner
13,5,partner say hell take long hit goddamn
14,5,goddamn ball guy answer wife watch clubhouse
15,5,clubhouse want perfect shot hell man stand
16,5,man stand snowball chance hell hit
17,6,ask japanese visitor election country morning answer
18,6,japanese visitor election country morning answer
19,7,father anxious marry daughter want impress date
20,7,date like screw say huh reply surprised
21,7,surprised date daughter loves screw good screw
22,7,screw carefully explain father interested boy reply
23,7,reply yes sir minutes later girl come
24,7,come stair kiss father goodbye couple leave
25,7,leave minute reappear furious dress tear hair
26,7,hair mess scream dammit daddy twist straight
27,7,mess scream dammit daddy twist straight
28,8,question blind person give matzah answer hell
29,8,person give matzah answer hell write
30,9,question orange sound like parrot answer carrot
31,9,orange sound like parrot answer carrot
32,10,man screw light bulb man screw
33,11,dog walk western union ask clerk send
34,11,send telegram fill form write telegram wish
35,11,wish send bow wow wow bow wow
36,11,wow wow clerk say add bow wow
37,11,wow price dog respond sound little silly
38,11,price dog respond sound little silly
39,12,question person speak language call trilingual person
40,12,person speak language call bilingual person speak
41,12,bilingual person speak language answer american
42,13,couple excellent relationship go day come home
43,13,home work find girlfriend packing ask leave
44,13,leave tell hear awful thing possibly say
45,13,say tell pedophile reply awfully big word
46,13,reply awfully big word year old
47,14,difference macintosh etchasketch shake mac clear screen
48,14,macintosh etchasketch shake mac clear screen
49,15,difference tire 365 condom ones goodyear great
50,15,365 condom ones goodyear great year
51,16,duck walk pharmacy ask condom pharmacist say
52,16,say like stick bill duck say kind
53,16,bill duck say kind duck think
54,17,question australian word boomerang come answer stick
55,17,australian word boomerang come answer stick
56,18,run parakeet lawnmower shred tweet
57,19,kindergarten girl talk outside say believe see
58,19,see patio yesterdaya condom second girl ask
59,19,yesterdaya condom second girl ask patio
60,20,guy walk bar sit extremely gorgeous woman
61,20,woman thing notice pant skintight highwaiste obvious
62,20,obvious mechanism zipper button velcro open minute
63,20,minute puzzle get pant hip finally work
64,20,work nerve ask excuse miss pant reply
65,20,miss pant reply start buy drink
66,21,clinton return vacation arkansas walk step air
67,21,air force pig arm step say honor
68,21,honor guardsman genuine arkansas razorback hogs get
69,21,get chelsea hillary guardsman reply nice trade
70,21,hillary guardsman reply nice trade sir
71,22,mechanical electrical software engineer microsoft drive desert
72,22,desert car break mechanical engineer say problem
73,22,problem fuel injection system pop hood look
74,22,look electrical engineer reply think loose ground
75,22,ground wire look microsoft engineer jump close
76,22,close window wait minute reopen window work
77,22,wait minute reopen window work fine
78,23,old scotsman sit young scottish gentleman say
79,23,say boy ah lad look window stone
80,23,stone wall build bare hand place stone
81,23,stone meself macgregor wall builder take sip
82,23,sip beer say aye look lake eye
83,23,eye beautiful pier build meself laid board
84,23,board hammer nail macgregor pier builder continue
85,23,continue lad road build bare hand laid
86,23,laid inch pavement meself macgregor road builder
87,23,builder return beer sip say agh screw
88,23,beer sip say agh screw sheep
89,24,question 200 foot long 4 tooth answer
90,24,tooth answer row willie nelson concert
91,25,question difference lawyer plumber answer plumber work
92,25,plumber answer plumber work unclog system
93,26,president clinton look desk oval office aide
94,26,aide nervously approach exclaim president abortion bill
95,26,bill mr president want aide reply ahead
96,26,aide reply ahead pay respond president
97,27,man arrive gates heaven st peter ask
98,27,ask religion man say methodist st peter
99,27,peter look list say room 24 quiet
100,27,quiet pass room 8 man arrive gates
101,27,gates heaven religion baptist room 18 quiet
102,27,quiet pass room 8 man arrive gate
103,27,gate religion jewish room 11 quiet pass
104,27,pass room 8 man say understand different
105,27,different room different religion quiet pass room
106,27,room 8 st peter tell catholics room
107,27,tell catholics room 8 think one
108,28,american final world cup hey beer man
109,28,final world cup hey beer man
110,29,backwood midwestern state little johnny arrive school
111,29,school hour late teacher late john johny
112,29,johny big brother got shoot ass teacher
113,29,teacher correct speech teacher rectum johnny wrecked
114,29,johnny wrecked hell damn near kill
115,30,explorer deep amazon suddenly find surround bloodthirsty
116,30,bloodthirsty group native surveying situation say quietly
117,30,quietly oh god screw sky darken voice
118,30,voice boom screw pick stone foot bash
119,30,bash head chief standing stone bash life
120,30,life chief standing lifeless body breathe heavily
121,30,heavily look 100 angry native voice boom
122,30,angry native voice boom okay screw
123,31,guy walk bar order beer say bartender
124,31,bartender hey get great polish joke barkeep
125,31,barkeep glare say warn tone voice tell
126,31,tell joke well know polish bouncer polish
127,31,polish customer okay say customeri tell slowly
128,31,customer okay say customeri tell slowly
129,32,jewish young man see psychiatrist eating sleep
130,32,sleep disorder obsess mother soon sleep start
131,32,start dream dream turn mother wake state
132,32,state downstair eat piece toast psychiatrist reply
133,32,reply piece toast big boy like
134,33,order waiter ask yes prepare chicken special
135,33,special sir reply tell straight go die
136,33,sir reply tell straight go die
137,34,difference man woman woman want man satisfy
138,34,satisfy need man want woman satisfy need
139,34,need man want woman satisfy need
140,35,question difference man toilet answer toilet follow
141,35,man toilet answer toilet follow use
142,36,irishman change lightbulb hold lightbulb drink room
143,36,lightbulb hold lightbulb drink room spin
144,37,atheist orgasm oh darwin oh darwin
145,38,man discuss age old question enjoy sex
146,38,sex man woman woman walk listen awhile
147,38,awhile interrupt listen guy know ear itch
148,38,itch little finger wiggle awhile afterward feel
149,38,awhile afterward feel well finger ear
150,39,arnold swartzeneger sylvester stallone make movie live
151,39,live great composer stallone say want mozart
152,39,want mozart swartzeneger say case bach
153,40,horse walk bar bartender say long face
154,40,walk bar bartender say long face
155,41,boy come home school tell mother get
156,41,get school play mother ask play jewish
157,41,jewish husband boy reply school tell teacher
158,41,school tell teacher want speak role
159,42,couple marry 75 year husband 95th birthday
160,42,birthday wife decide surprise hire prostitute day
161,42,day doorbell ring husband use walker door
162,42,door open 21yearold latex outfit smile say
163,42,say hi super sex old man say
164,42,super sex old man say soup
165,43,engineer exceptional gift fix thing mechanical serve
166,43,serve company loyally 30 year happily retire
167,43,retire year later company contact seemingly impossible
168,43,impossible problem have multimillion dollar machine try
169,43,try machine fix avail desperation call retire
170,43,retire engineer solve problem past engineer reluctantly
171,43,reluctantly take challenge spend day study huge
172,43,huge machine end day mark small x
173,43,x chalk particular component machine proudly state
174,43,state problem replace machine work perfectly company
175,43,company receive bill 50000 engineer service demand
176,43,demand itemized accounting charge engineer respond briefly
177,43,briefly chalk mark 1 knowing 49999 pay
178,43,knowing 49999 pay engineer retire peace
179,44,graduate science degree ask work graduate engineering
180,44,engineering degree ask work graduate accounting degree
181,44,degree ask cost graduate liberal arts degree
182,44,liberal arts degree ask want fry
183,45,engineering student gather discuss possible designer human
184,45,human body say mechanical engineer look joint
185,45,joint say electrical engineer nervous system thousand
186,45,thousand electrical connection say actually civil engineer
187,45,engineer run toxic waste pipeline recreational area
188,45,run toxic waste pipeline recreational area
189,46,question o j simpsons internet address answer
190,46,answer slash slash backslash slash slash escape
191,46,slash slash backslash slash slash escape
192,47,guy go confession say priest father 80
193,47,80 year old widower 11 grandchild night
194,47,night meet beautiful flight attendant take home
195,47,home love twice priest say son time
196,47,time confession father jewish telling tell everybody
197,47,confession father jewish telling tell everybody
198,48,hear clinton announce new national bird spread
199,48,announce new national bird spread eagle
200,49,question monica lewinsky bob dole common answer
201,49,dole common answer upset bill finish
202,50,sunday morning william burst living room say
203,50,say dad mom great news get marry
204,50,marry beautiful girl town life block away
205,50,away susan dinner williams dad take aside
206,50,aside son talk mother marry 30 year
207,50,year wonderful wife offer excitement bedroom fool
208,50,fool woman lot susan actually halfsister afraid
209,50,afraid marry william heartbroken month eventually start
210,50,start date girl year later come home
211,50,home proudly announce dianne say yes get
212,50,get marry june father insist private conversation
213,50,conversation break sad news dianne halfsister william
214,50,william awfully sorry william furious finally decide
215,50,decide mother news dad harm guess going
216,50,going marry complain time fall love dad
217,50,dad tell girl halfsister mother shake head
218,50,head pay attention say dear father
219,51,pope die naturally go heaven meet reception
220,51,reception committee whirlwind tour tell enjoy myriad
221,51,myriad recreation available decide wants read ancient
222,51,ancient original text holy scriptures spend eon
223,51,eon learning language linguistic master sit library
224,51,library begin pour version bible work recent
225,51,recent easy reading original script sudden scream
226,51,scream library angels come run find pope
227,51,pope huddle chair cry mutter r scribe
228,51,scribe leave r particularly concern angel take
229,51,take aside offer comfort ask problem mean
230,51,mean collect wit pope sobs letter r
231,51,r leave r word suppose celebrate
232,52,woman twin give adoption go family egypt
233,52,egypt name amal go family spain juan
234,52,juan years later juan send picture mom
235,52,mom receive picture tell husband wish picture
236,52,picture amal husband respond twinsif see juan
237,52,respond twinsif see juan see amal
238,53,man cindy crawford strand desert island couple
239,53,couple day fall love start sleep time
240,53,time pass man frustrate cindy ask say
241,53,say thing baseball cap island answer bob
242,53,bob agree day walk island run say
243,53,say hi bob say hello reply bob
244,53,bob believe sleep cindy crawford past week
245,53,believe sleep cindy crawford past week
246,54,joness phone book phone
247,55,teddybear change lightbulb take teddybear take lot
248,55,lightbulb take teddybear take lot lightbulb
249,56,chukcha russian eskimo phone russian parliament building
250,56,building guard answer chukcha require parliament member
251,56,parliament member guard idiot chukcha require
252,57,bill hillary trip arkansas gas bill pull
253,57,pull service station outskirt town attendant run
254,57,run station serve hillary realize old boyfriend
255,57,boyfriend high school attendant chat gas car
256,57,car clean window goodbye bill pull car
257,57,car road turn hillary say glad marry
258,57,marry wife grease monkey hillary reply bill
259,57,reply bill marry pump gas president
260,58,buddhist hot dog vendor
261,59,recent publicity outing hillary sneak visit fortune
262,59,fortune teller local repute dark hazy room
263,59,room peer crystal ball mystic deliver grave
264,59,grave news easy way blunt prepare widow
265,59,widow husband die violent horrible death year
266,59,year visibly shake hillary stare woman line
267,59,line face single flickering candle hand take
268,59,take deep breath compose simply know meet
269,59,meet fortune teller gaze steadied voice ask
270,59,gaze steadied voice ask question acquit
271,60,group manager give assignment measure height flagpole
272,60,flagpole flagpole ladder tape measure fall ladder
273,60,ladder drop tape measure thing mess engineer
274,60,engineer comes see try walk pull flagpole
275,60,flagpole ground lay flat measure end end
276,60,end give measurement manager walk away engineer
277,60,engineer go manager turn laugh like engineer
278,60,like engineer look height give length
279,61,engineer physicist mathematician sleeping room fire room
280,61,room engineer wake see fire pick bucket
281,61,bucket water douse fire go sleep fire
282,61,fire room time physicist wakes notice bucket
283,61,bucket fill water calculate optimal trajectory douse
284,61,douse fire minimum water go sleep fire
285,61,fire time mathematician wake look fire look
286,61,look bucket water exclaim solution exist go
287,61,water exclaim solution exist go sleep
288,62,rally cry international dyslexic pride movement dyslexics
289,62,international dyslexic pride movement dyslexics untie
290,63,redneck seat end bar young lady seat
291,63,seat stool begin choke piece hamburger turn
292,63,turn blue obviously respiratory distress say gal
293,63,gal have bad time agree say think
294,63,think help bet say firstand ran say
295,63,say breathe shook head say speak shake
296,63,shake head pull skirt licked butt shock
297,63,shock coughed obstruction begin breathewith great relief
298,63,relief redneck walk friend say funny hind
299,63,say funny hind lick maneuver work
300,64,lawyer open door bmw suddenly car came
301,64,came hit door rip completely police arrive
302,64,arrive scene lawyer complain bitterly damage precious
303,64,precious bmw officer look beeeeemer whine lawyer
304,64,lawyer materialistic sick retort officer worry stupid
305,64,stupid bmw notice leave arm rip oh
306,64,oh gaaaad reply lawyer finally notice bloody
307,64,notice bloody left shoulder arm rolex
308,65,time broom fall love decide married ceremony
309,65,ceremony bride broom informed groom broom expect
310,65,expect little whiskbroom groom broom aghast possible
311,65,groom broom aghast possible ask sweep
312,66,man pilot hot air balloon discover wander
313,66,wander course hopelessly lose descend low altitude
314,66,altitude locate man ground lower balloon shout
315,66,shout excuse tell man say yes hot
316,66,hot air balloon 30 foot field work
317,66,work information technology say balloonist yes reply
318,66,reply man know say balloonist tell technically
319,66,technically correct use man say work management
320,66,management reply balloonist know say man know
321,66,know going expect immediate help position meet
322,66,expect immediate help position meet fault
323,67,guy wife ask honey die remarry reply
324,67,reply considerable period grieve need companionship guess
325,67,guess ask die remarried live house reply
326,67,reply spend lot time money get house
327,67,house way want go rid house guess
328,67,guess die remarry live house sleep bed
329,67,bed say bed brand new pay thousand
330,67,thousand dollar go long time guess ask
331,67,ask die remarry live house sleep bed
332,67,bed use golf club oh leave handed
333,67,use golf club oh leave handed
334,68,feminist screw light bulb funny
335,69,employer applicant job need responsible applicant want
336,69,want job time go wrong say responsible
337,69,job time go wrong say responsible
338,70,recent sacramento pc users group meeting company
339,70,company demonstrate late speech recognition software representative
340,70,representative company ready start demonstration ask room
341,70,room quiet room yell format c return
342,70,return chime yes return unfortunately software work
343,70,chime yes return unfortunately software work
344,71,day college dean address student point rule
345,71,rule female dormitory outofbound male student male
346,71,male dormitory female student anybody catch break
347,71,break rule find 20 time continue anybody
348,71,anybody catch break rule second time fine
349,71,fine 60 catch time cost fine 180
350,71,180 question point male student crowd inquire
351,71,male student crowd inquire season pass
352,72,question difference george washington richard nixon bill
353,72,bill clinton answer washington tell lie nixon
354,72,nixon tell truth clinton know difference
355,73,question stalker change light bulb answer replace
356,73,answer replace bulb watch day night
357,74,question know difference intelligent male sasquatch answer
358,74,sasquatch answer actual report sighting sasquatch
359,75,man woman get terrible car wreck vehicle
360,75,vehicle completely destroy buy fortunately hurt thankfulness
361,75,thankfulness woman say man okay celebrate bottle
362,75,bottle wine car let open woman get
363,75,get bottleout car handed man man take
364,75,take big drink handed woman bottle woman
365,75,woman close bottle man ask go drink
366,75,drink woman cleverly reply think wait cop
367,75,woman cleverly reply think wait cop
368,76,pro opposite con congress opposite progress
369,77,question difference government mafia answer organize
370,78,question wonder irs call form 1040 answer
371,78,1040 answer 50 earn 10 40
372,79,question hear dyslexic devil worshiper answer sell
373,79,devil worshiper answer sell soul santa
374,80,hillary bill clinton pope sit airplane bill
375,80,bill say throw thousand dollar bill plane
376,80,plane person happy hillary say throw 10
377,80,10 dollar bill plane 10 people happy
378,80,happy pope chip say throw bill airplane
379,80,say throw bill airplane country happy
380,81,asian man go new york citybank exchange
381,81,exchange 10000 yen american currency teller give
382,81,give 72 00 month asian man go
383,81,go bank 10000 yen receive 62 00
384,81,00 ask come 62 00 teller say
385,81,say fluctuations fluctuations asian man look teller
386,81,man look teller say fluk amelicans
387,82,question computer programmer shower day long answer
388,82,answer shampoo label say rinse lather repeat
389,82,shampoo label say rinse lather repeat
390,83,woman say place mess cmon need clean
391,83,clean stuff lie floor clothe wear laundry
392,83,laundry right man hear blah blah blah
393,83,blah blah cmon blah blah blah blah
394,83,blah blah blah blah blah floor blah
395,83,blah blah blah blah clothe blah blah
396,83,clothe blah blah blah blah right
397,84,question difference mechanical engineers civil engineers answer
398,84,answer mechanical engineers build weapon civil engineers
399,84,build weapon civil engineers build target
400,85,question president screw light bulb answer depend
401,85,answer depend definition screw light bulb
402,86,neutron walk bar order drink owe neutron
403,86,owe neutron ask bartender reply charge
404,87,man recently complete routine physical examination receive
405,87,receive phone doctor doctor say good news
406,87,news bad news man say ok good
407,87,good news doctor say good news 24
408,87,24 hour live man reply shit good
409,87,good news bad news doctor say bad
410,87,doctor say bad news forgot yesterday
411,88,czechoslovakian man feel eyesight grow steadily worse
412,88,worse feel time optometrist doctor start simple
413,88,simple testing show standard eye chart letter
414,88,letter diminish size crkbnwxskzy read doctor ask
415,88,ask read czech answer doc know
416,89,radio conversation naval ship canadian authority americans
417,89,americans divert course 15 degree north avoid
418,89,avoid collision canadians recommend divert course 15
419,89,15 degree south avoid collision americans captain
420,89,captain navy ship divert course canadians divert
421,89,divert course americans aircraft carrier uss lincoln
422,89,lincoln second large ship united states atlantic
423,89,atlantic fleet accompany destroyer cruiser numerous support
424,89,support vessel demand change course 15 degree
425,89,degree north degrees north countermeasure undertake ensure
426,89,undertake ensure safety ship canadians lighthouse
427,90,country guy go city bar dress code
428,90,code maitre d demand wear tie discourage
429,90,discourage guy go car sulk inspiration strike
430,90,strike get jumper cable trunk wrap neck
431,90,neck sort like string tie bulky string
432,90,string tie sure return bar maitre d
433,90,d reluctant say guy okay pretty resourceful
434,90,okay pretty resourceful fellow come start
435,91,question programmer change lightbulb answer hardware problem
436,91,programmer change lightbulb answer hardware problem
437,92,panda bear walk bar sit table order
438,92,order beer double cheeseburger finish eat pull
439,92,pull gun rip place gunfire patrons scatter
440,92,scatter dive chair table bear run door
441,92,door ensure hurt bartender race door call
442,92,call bear hell bear call panda bear
443,92,bear look dictionary bartender return pull dictionary
444,92,dictionary panda panda n zool small asiatic
445,92,asiatic mammal ailurus fulgen have fine soft
446,92,soft fur relate bear inhabit mountain northern
447,92,mountain northern india eat shoot leave
448,93,early morning mother go sleep son wake
449,93,wake wake son time school mama want
450,93,want school reason want school child hate
451,93,hate teacher hate oh reason come school
452,93,school good reason school fiftytwo year old
453,93,school fiftytwo year old principal school
454,94,reach end job interview human resource person
455,94,person ask young engineer fresh stanford start
456,94,start salary look engineer say neighborhood 125000
457,94,125000 year depend benefit package interviewer say
458,94,say package 5weeks vacation 14 pay holiday
459,94,holiday medical dental company match retirement fund
460,94,fund 50 salary company car lease 2
461,94,2 year red corvette engineer sit straight
462,94,straight say wow kidding interviewer reply yeah
463,94,wow kidding interviewer reply yeah start
464,95,atom walk street atom say oh lose
465,95,lose electron second atom saysare sure reply
466,95,second atom saysare sure reply positive
467,96,think criticize walk mile shoe criticize mile
468,96,mile shoe criticize mile away shoe
469,97,attorney go diner order drink produce sandwich
470,97,sandwich briefcase start eat owner concern march
471,97,march tell eat sandwich attorney look shrugged
472,97,attorney look shrugged shoulder exchange sandwich
473,98,teacher explain class different language use negative
474,98,negative differently say language positive follow negative
475,98,negative negative follow positive make negative language
476,98,language negative positive negative language positive negative
477,98,negative student put hand say yeah right
478,98,student put hand say yeah right
479,99,age womanhood 1 age 13 18 like
480,99,like africa virgin unexplore 2 age 19
481,99,19 35 like asia hot exotic 3
482,99,3 age 36 45 like america fully
483,99,fully explore breathtakingly beautifuland free resource 4
484,99,4 age 46 56 like europe exhausted
485,99,exhausted point interest 5 56 like australia
486,99,like australia everybody know give damn
487,100,bus station bus stop train station train
488,100,station train stops desk work station
