JokeId,JokeSentences,Average Rating
1,man visit doctor doctor say,0.9019966275293532
1,doctor say bad news,0.9019966275293532
1,bad news cancer,0.9019966275293532
1,cancer alzheimer disease man reply,0.9019966275293532
1,man reply wellthank god,0.9019966275293532
1,cancer,0.9019966275293532
2,cannibal eat clown turn,0.1629891997618845
2,clown turn say,0.1629891997618845
2,say taste funny,0.1629891997618845
2,taste funny,0.1629891997618845
3,question s difference greeting queen,0.1934109005616937
3,greet queen greeting president,0.1934109005616937
3,president united states answer,0.1934109005616937
3,state answer,0.1934109005616937
3,knee greet,0.1934109005616937
3,knee greet queen,0.1934109005616937
4,question hurricane tornado,-1.4125989774514944
4,tornado redneck divorce,-1.4125989774514944
4,divorce common answer someone go,-1.4125989774514944
4,go lose trailer,-1.4125989774514944
5,guy stand tee shot,0.2353523601934473
5,tee shoot eternity look,0.2353523601934473
5,eternity look look measure,0.2353523601934473
5,measure distance figure wind direction,0.2353523601934473
5,wind direction speed drive partner,0.2353523601934473
5,drive partner nut finally exasperate partner,0.2353523601934473
5,exasperate partner say hell,0.2353523601934473
5,hell take long hit,0.2353523601934473
5,long hit goddamn ball guy answer,0.2353523601934473
5,guy answer wife,0.2353523601934473
5,watch clubhouse,0.2353523601934473
5,clubhouse want,0.2353523601934473
5,perfect shot hell,0.2353523601934473
5,shoot hell man stand,0.2353523601934473
5,stand snowball chance hell,0.2353523601934473
5,chance hell hit,0.2353523601934473
5,hit,0.2353523601934473
6,ask japanese visitor,1.3302770271976567
6,election country,1.3302770271976567
6,country morning answer,1.3302770271976567
7,father anxious marry,-0.6339466764757974
7,marry daughter,-0.6339466764757974
7,daughter want impress date,-0.6339466764757974
7,impress date like screw,-0.6339466764757974
7,like screw say huh reply,-0.6339466764757974
7,huh reply surprised date daughter,-0.6339466764757974
7,date daughter loves screw,-0.6339466764757974
7,screw good,-0.6339466764757974
7,good,-0.6339466764757974
7,screw carefully explain father,-0.6339466764757974
7,explain father interested boy,-0.6339466764757974
7,interested boy reply yes sir minute later,-0.6339466764757974
7,sir minute later girl come,-0.6339466764757974
