Joke Number,Average Rating
1,0.9019966275293531
2,0.1629891997618845
3,0.19341090056169372
4,-1.4125989774514944
5,0.23535236019344732
6,1.3302770271976567
7,-0.6339466764757974
8,-0.9962671806677473
9,-0.620039361113822
10,1.181705631225859
11,1.728665323242027
12,1.5043600220365438
13,-1.944858660854165
14,1.3202849723228318
15,-2.112506062174754
16,-3.103138326135234
17,-1.2881012899622684
18,-0.9061631518718326
19,0.1715598179985287
20,-1.2032695818008448
21,2.106803971857346
22,0.8813262231574921
23,0.17138772358769788
24,-1.7308062025479345
25,0.4183960841511953
26,1.2071649526943644
27,2.9079890132608757
28,1.3926599571561378
29,2.6195097293670315
30,-0.4743348276748237
31,1.9530465672608237
32,2.9746978883861237
33,-1.3863934678312215
34,0.9218646247369652
35,2.7756063797773094
36,2.9172449623552543
37,-1.4092875193842973
38,1.3486977666858642
39,1.1006554685526646
40,1.0336307067531276
41,-0.3765429180089369
42,1.741750120187863
43,-0.8343764555838971
44,-1.998305598478545
45,1.0354731599335918
46,1.274539311161471
47,1.3379652976059742
48,1.774179683872286
49,2.515416611668427
50,3.3625929395733083
51,-0.8169128959569013
52,-0.20111833709629925
53,2.550239160255263
54,2.4057795190489064
55,0.3824500161038575
56,1.6860315217790178
57,-1.9408095353339783
58,-3.7045409911996297
59,-0.5218044647660032
60,-0.4068151374897904
61,2.090819159826865
62,2.6762632522729426
63,0.2556052041711334
64,-0.716813562169275
65,1.990444327926526
66,2.443099103865613
67,-0.9082790581855408
68,2.411570557822231
69,2.279410667909702
70,0.524716604544908
71,-0.9828413942177789
72,2.6324214466469846
73,0.9674685568109146
74,-1.5582390664423886
75,-0.4471430821737989
76,2.34440755846972
77,0.6437949243783646
78,1.656368502316006
79,-0.14497783213575904
80,1.0265016924812802
81,1.7482284967845654
82,0.6248744558064188
83,1.9689874739039663
84,0.5243341958598727
85,0.6312271655863287
86,0.2703050797975866
87,1.851524922348765
88,1.9654779589080738
89,3.3480262192437515
90,0.3693819553899795
91,1.907075570841693
92,1.1217818421796928
93,2.250617967078955
94,1.0829639317180615
95,1.0349811286435362
96,1.3730266660650634
97,1.4891062245078914
98,0.8698643649815045
99,-0.036188977057098504
100,1.1168123525187237
